#
# This data is provided by behindthename.com and is licensed under CC BY-SA 4.0.
# To view a copy of this license, visit https://creativecommons.org/licenses/by-sa/4.0
#
# Given names, their genders and synonyms, exported from the behindthename.com database.
# Fri, 26 Sep 2025 23:27:02 -0700
#
# name	gender	related
Aabraham	m	Aapo
Aada	f	Ada
Aadan	m	
Aaden	m	Aden,Aidan,Aiden,Aydan,Ayden
Aadolf	m	Aatto,Aatu,Atte
Aafje	f	
Aage	m	Åge
Aali	m	
Aalis	f	
Aaliyah	f	Aleah,Alia,Aliya,Aliyah
Aamaal	f	Amel
Aamadu	m	
Aamina	f	Aaminah,Amina,Aminah
Aaminah	f	Aamina,Amina,Aminah
Aaminata	f	
'Aamir	m	Aamir,Amer
Aamir	m	'Aamir,Ameer,Amer,Amir
Aamu	f	
Aanakwad	mf	
Aang	m	
Aapeli	m	
Aapo	m	
Aaralyn	f	
Aaren	mf	Aaron,Arron
Aarne	m	
Aarni	m	
Aaro	m	Aaron
Aäron	m	
Aarón	m	
Aaron	m	Aaro,Arron
Aarre	m	
Aart	m	Arno,Arnold,Arnoud,Arnout,Noud
Aarthi	f	
Aarti	f	Arati,Arti
Aase	f	
Aatami	m	
Aatos	m	
Aatto	m	
Aatu	m	
Aava	f	
Abacuc	m	Habacuc
Abaddon	m	
Abai	m	
Əbəlfəz	m	Əbülfəz
Abayomi	m	
Abbán	m	
'Abbas	m	Abbas
Abbas	m	'Abbas
Abbe	m	
Abbey	f	Abbi,Abbie,Abbigail,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abbi	f	Abbey,Abbie,Abbigail,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abbie	f	Abbey,Abbi,Abbigail,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abbigail	f	Abbey,Abbi,Abbie,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abbondio	m	
Abby	f	Abbey,Abbi,Abbie,Abbigail,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abd al-Aziz	m	Abdelaziz,Abdul Aziz,Abdulaziz
Abd al-Fattah	m	Abdelfattah
Abd al-Ghani	m	Abdelghani
Abd al-Hadi	m	Abdulhadi
Abd al-Hakim	m	Abdelhakim
Abd al-Hamid	m	Abdelhamid,Abdul Hamid
Abd al-Haqq	m	Abdelhak,Abdul Haq
Abd al-Ilah	m	Abd Allah,Abdallah,Abdellah,Abdulla,Abdullah
Abd al-Kader	m	Abd al-Qadir,Abdelkader
Abd al-Karim	m	
Abd Allah	m	Abd al-Ilah,Abdallah,Abdellah,Abdulla,Abdullah
Abdallah	m	Abd al-Ilah,Abd Allah,Abdellah,Abdulla,Abdullah
Abd al-Latif	m	Abdellatif
Abd al-Majid	m	Abdelmajid
Abd al-Malik	m	
Abd al-Qadir	m	Abd al-Kader,Abdelkader
Abd al-Rahim	m	Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abd al-Rahman	m	Abd al-Rahim,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abd al-Rashid	m	Abd ar-Rashid,Abdur Rashid
Abd al-Salam	m	Abd as-Salam,Abdeslam,Abdessalam,Abdus Salam
Abd al-Wali	m	
Abd ar-Rahim	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abd ar-Rahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abd ar-Rashid	m	Abd al-Rashid,Abdur Rashid
Abd as-Salam	m	Abd al-Salam,Abdeslam,Abdessalam,Abdus Salam
Abdastartos	m	Abdastartus
Abdastartus	m	Abdastartos
Abdel	m	Abdo,Abduh,Abdul
Abdelaziz	m	Abd al-Aziz,Abdul Aziz,Abdulaziz
Abdelfattah	m	Abd al-Fattah
Abdelghani	m	Abd al-Ghani
Abdelhak	m	Abd al-Haqq,Abdul Haq
Abdelhakim	m	Abd al-Hakim
Abdelhamid	m	Abd al-Hamid,Abdul Hamid
Abdelkader	m	Abd al-Kader,Abd al-Qadir
Abdellah	m	Abd al-Ilah,Abd Allah,Abdallah,Abdulla,Abdullah
Abdellatif	m	Abd al-Latif
Abdelmajid	m	Abd al-Majid
Abderrahim	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abderrahmane	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abdeslam	m	Abd al-Salam,Abd as-Salam,Abdessalam,Abdus Salam
Abdessalam	m	Abd al-Salam,Abd as-Salam,Abdeslam,Abdus Salam
Abdias	m	Abdiou
Abdiel	m	
Abdiou	m	Abdias
Abdo	m	Abdel,Abduh,Abdul
Abdolhossein	m	
Abdollah	m	
Abdolreza	m	
Abdou	m	
Abdoul	m	
Abdoulaye	m	
Abduh	m	Abdel,Abdo,Abdul
Abdul	m	Abdel,Abdo,Abduh
Abdulah	m	
Abdülaziz	m	
Abdul Aziz	m	Abd al-Aziz,Abdelaziz,Abdulaziz
Abdulaziz	m	Abd al-Aziz,Abdelaziz,Abdul Aziz
Abdulhadi	m	Abd al-Hadi
Abdul Hamid	m	Abd al-Hamid,Abdelhamid
Abdülhamit	m	
Abdul Haq	m	Abd al-Haqq,Abdelhak
Abdülkadir	m	
Abdülkerim	m	
Abdulla	m	Abd al-Ilah,Abd Allah,Abdallah,Abdellah,Abdullah,Abdullo,Abdulloh
Abdullaahi	m	
Abdullah	m	Abd al-Ilah,Abd Allah,Abdallah,Abdellah,Abdulla
Abdullahi	m	
Abdüllatif	m	
Abdullo	m	Abdulla,Abdulloh
Abdulloh	m	Abdulla,Abdullo
Abdullohi	m	
Abdul Rahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdulrahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abdulrahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdur Rahim,Abdur Rahman,Abdurrahman
Abdurakhman	m	
Abdur Rahim	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahman,Abdurrahman
Abdur Rahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdurrahman
Abdurrahman	m	Abd al-Rahim,Abd al-Rahman,Abd ar-Rahim,Abd ar-Rahman,Abderrahim,Abderrahmane,Abdul Rahman,Abdulrahman,Abdur Rahim,Abdur Rahman
Abdur Rashid	m	Abd al-Rashid,Abd ar-Rashid
Abdus Salam	m	Abd al-Salam,Abd as-Salam,Abdeslam,Abdessalam
Abduweli	m	
Abe	m	Abraham,Bram
Abeba	f	
Abednego	m	
Abeeha	f	Abiha
Abeer	f	Abir
Abegail	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abi,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Ábel	m	
Abel	m	
Abelardo	m	
Abele	m	
Abelone	f	Lone
Abena	f	
Abene	f	
Abeni	f	
Abenner	m	
Aberash	f	
Abessa	m	
Abessalom	m	
Abha	f	
Abhay	m	
Abhijeet	m	Abhijit
Abhijit	m	Abhijeet
Abhilash	m	
Abhilasha	f	
Abhinav	m	
Abhishek	m	
Abi	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abigail,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abia	mf	
Abiah	mf	Abijah
Abiathar	m	
Abidan	m	
Abidemi	mf	
Abiel	m	
Abigaëlle	f	
Abigaia	f	
Abigaíl	f	
Abigaïl	f	
Abigail	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abi,Abigale,Abigayle,Gail,Gale,Gayla,Gayle
Abigale	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abi,Abigail,Abigayle,Gail,Gale,Gayla,Gayle
Abigayle	f	Abbey,Abbi,Abbie,Abbigail,Abby,Abi,Abigail,Abigale,Gail,Gale,Gayla,Gayle
Abigél	f	
Abiha	f	Abeeha
Abihu	m	
Abijah	mf	Abiah
Abilene	f	
Abílio	m	
Abilio	m	
Abimael	m	
Abimbola	fm	
Abimelech	m	
Abiodun	mf	
Abiola	fm	
Abioye	mf	
Abir	f	Abeer
Abiram	m	
Abisai	m	
Abishag	f	
Abishai	m	
Abital	f	
'Abla	f	Abla
Abla	f	'Abla
Abner	m	
Abo	m	Abu
Abolfazl	m	
Abosede	f	Bose,Bosede
Aboubacar	m	Boubacar
Abraam	m	Abram
Abraão	m	
Ábrahám	m	
Abraham	m	Abe,Abrahán,Avi,Avraham,Bram
Abrahán	m	Abraham
Abram	m	Abraam
Abramo	m	
Abrar	fm	
Abrasha	m	Abram
Abril	f	
Absalom	m	
Abu	m	Abo
Abu al-Fadl	m	Abul-Fazl
Abubakar	m	
Abu Bakr	m	
Əbülfəz	m	Əbəlfəz
Abul-Fazl	m	Abu al-Fadl
Abundio	m	
Abundius	m	
Aca	m	Ace,Aco,Aleksa,Aleksandar,Saša,Sasho,Saško,Sašo
Acacia	f	
Acacius	m	Akakios
Acantha	f	Akantha
Ace	m	Aca,Aco,Aleksandar,Sasho,Saško,Sašo
Achaab	m	
Achab	m	Ahab
Achaemenes	m	Achaimenes,Haxamanish
Achaicus	m	
Achaikos	m	
Achaimenes	m	Achaemenes,Haxamanish
Achan	m	
Achard	m	
'Achashwerosh	m	
'Ach'av	m	
Acheim	m	
Acheloios	m	Achelous
Achelous	m	Acheloios
Achieng	f	
Achille	m	
Achilleas	m	Achillefs
Achillefs	m	Achilleas
Achilles	m	Achilleus
Achilleus	m	Achilles
Achim	m	Jo,Joachim,Jochen,Jockel
Achinoam	f	
Achlys	f	
Achsah	f	
Acke	m	Axel
Aco	m	Aca,Ace,Aleksa,Aleksandar,Saša,Sasho,Saško,Sašo
Actaea	f	Aktaie
Actaeon	m	Aktaion
Actor	m	Aktor
Ad	m	Adriaan,Arie,Aris,Arjan
Ada	fm	Aada,Adalhaid,Adalheidis,Adaline,Adalyn,Adalynn,Addilyn,Adelaida,Adelais,Adelajda,Adelheid,Adelina,Adeline,Adelyn,Adelynn
Adad	m	
Adad-Nirari	m	
Adaeze	f	
Adah	f	
Adaiah	m	
Adair	mf	
Adalberht	m	Adalbert,Albert,Albertus
Adalbern	m	
Adalbert	m	Adalberht,Adelbert,Albert,Albertus,Albrecht
Adalberto	m	Alberto
Adalet	f	
Adalfarus	m	
Adalfuns	m	
Adalgard	f	
Adalgund	f	Adelgundis,Aldegund,Aldegundis
Adalhaid	f	Ada,Adalheidis,Adelais
Adalhard	m	Alard
Adalheidis	f	Ada,Adalhaid,Adelais
Adalia	m	Adlai
Adalindis	f	Adallinda
Adaline	f	Ada,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Aline
Adallinda	f	Adalindis
Adaltrud	f	
Adalwin	m	Alwin
Adalwolf	m	Adolf,Adolphus
'Adalya	m	Adlai
Adalyn	f	Adaline,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Alene,Aline
Adalynn	f	Adaline,Adalyn,Addie,Addilyn,Addy,Adeline,Adelyn,Adelynn,Alene,Aline
Ádám	m	
Adəm	m	
Adam	m	
Adamantia	f	
Adamantios	m	
Adamina	f	
Adamo	m	
Adamou	m	
Ādams	m	
Adamŭ	m	
Adán	m	
Adanna	f	
Adannaya	f	
Adão	m	
Adara	f	
Adas	m	Adolfas,Adomas
Adawosgi	m	
'Adaya	m	
Adde	m	Ade,Aike,Ale,Alke,Alle,Atse
Addie	f	Adaline,Adalyn,Adalynn,Addilyn,Addison,Addy,Addyson,Adelaide,Adeline,Adelyn,Adelynn,Alene,Aline,Della
Addilyn	f	Adaline,Adalyn,Adalynn,Addie,Addy,Adeline,Adelyn,Adelynn,Alene,Aline
Addison	fm	Addie,Addy,Addyson
Addolorata	f	
Addy	fm	Adaline,Adalyn,Adalynn,Addie,Addilyn,Addison,Addyson,Adelaide,Adeline,Adelyn,Adelynn,Alene,Aline,Della
Addyson	f	Addie,Addison,Addy
Ade	mf	Adde,Adebola,Adebowale,Adedayo,Adegoke,Adenike,Aike,Ale,Alke,Alle,Atse
Adebayo	m	
Adebisi	fm	
Adebola	mf	Ade
Adebowale	mf	Ade
Adedayo	mf	Ade
Adeeb	m	Adib
Adegoke	m	Ade
Adei	m	
Adekunle	m	Kunle
Adél	f	
Adel	m	Adil
Adéla	f	
Adela	f	Adelia,Adelita,Adella,Delia,Della
Adelaida	f	Ada,Aleida,Aleyda
Adélaïde	f	
Adelaide	f	Addie,Addy,Della
Adelais	f	Ada,Adalhaid,Adalheidis
Adelajda	f	Ada
Adélard	m	
Adelardo	m	
Adelbert	m	Adalbert,Albert,Albrecht,Elbert
Adèle	f	Adélie
Adele	f	Adelle
Adelė	f	
Adelgundis	f	Adalgund,Aldegund,Aldegundis
Adelheid	f	Ada,Aleid,Aleida,Alida,Elke,Heida,Heide,Heidi
Adelia	f	Adela,Adelita,Adella,Delia,Della
Adélie	f	Adèle
Adelīna	f	Alīna
Adelina	f	Ada,Alina,Aline
Adelinde	f	
Adeline	f	Ada,Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adelyn,Adelynn,Alene,Aline,Lina,Line,Linette,Lyna
Adelita	f	Adela,Adelia
Adella	f	Adela,Adelia,Delia,Della
Adelle	f	Adele
Adelma	f	
Adelmar	m	
Adelmo	m	
Adelyn	f	Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelynn,Alene,Aline
Adelynn	f	Adaline,Adalyn,Adalynn,Addie,Addilyn,Addy,Adeline,Adelyn,Alene,Aline
Adem	m	
Ademar	m	Ademir
Ademaro	m	
Ademir	m	Ademar
Ademola	m	Adeola
Aden	m	Aaden,Aidan,Aiden,Aydan,Ayden
Adena	f	Adina
Adenike	f	Ade
Adeniyi	m	
Adeodatus	m	Deodatus
Adeola	fm	Ademola
Aderonke	f	
Aderyn	f	
Adetokunbo	mf	
Adewale	m	
Adeyemi	mf	
Adham	m	
Ádhamh	m	
Adhara	f	Aludra
Adhelm	m	
Adhiambo	f	
Adi	fm	Adolf,Adrian,Edi
Adian	m	
Adib	m	Adeeb
Ädıl	m	Adil
Adil	m	Adel,Ädıl
Adila	f	
Adilə	f	
Adile	f	
Ädılet	m	Adilet
Adilet	m	Ädılet
Adílson	m	
Adin	m	
'Adina	m	Adino
Adina	mf	
Adino	m	'Adina
Adir	m	
Adisa	mf	
Aditi	f	
Aditya	m	
Ädiya	f	
Adjoa	f	Adwoa
Adlai	m	Adalia,'Adalya
Adler	m	
Admetos	m	Admetus
Admetus	m	Admetos
Admir	m	
Adna	f	
Adnan	m	
Adolf	m	Adalwolf,Adi,Adolphus,Alf
Adolfas	m	Adas
Adolfito	m	Adolfo,Fito
Adolfo	m	
Ādolfs	m	
Adolph	m	Dolph
Adolphe	m	
Adolphine	f	
Adolphus	m	Adalwolf,Adolf
Adomas	m	Adas
Adonai	m	
Adonay	m	
Adone	m	
Adonijah	m	
Adoniram	m	
Adonis	m	
'Adoniya	m	
Adora	f	Adoración
Adoración	f	
Adorinda	f	
Adorján	m	Adrián
Adrastea	f	Adrasteia
Adrasteia	f	Adrastea
Adrastos	m	
Adria	f	Adriana,Adrianna,Adrianne
Adrià	m	
Adriaan	m	Ad,Arie,Aris,Arjan
Adrián	m	Adorján
Adrian	m	Adi
Adriana	f	Adria,Adrianna,Adrianne,Adriene
Adrianna	f	Adria,Adriana,Adrianne
Adrianne	f	Adria,Adriana,Adrianna
Adriano	m	
Adrians	m	
Adrianus	m	
Adriel	m	
Adrien	m	
Adriene	f	Adriana
Adrienn	f	
Adrienne	f	
Adrijan	m	Jadran,Jadranko
Adrijana	f	
Adsila	f	
Adur	m	
Adva	f	
Adwoa	f	Adjoa
Adzo	f	
Æbbe	f	
Áed	m	Áedán,Áedh,Aodh
Áedán	m	Áed,Áedh
Áedh	m	Áed,Áedán
Áednat	f	
Aegeus	m	Aigeus,Aigisthos
Aegidius	m	
Ægir	m	
Aegisthus	m	Aigeus,Aigisthos
Aegle	f	Aigle
Ælfflæd	f	
Ælfgar	m	
Ælfgifu	f	
Ælfgyð	f	
Ælfheah	m	
Ælfhild	f	
Ælfnoð	m	
Ælfræd	m	
Ælfric	m	
Ælfsige	m	
Ælfstan	m	
Ælfswiþ	f	
Ælfþryð	f	Ælfthryth
Ælfthryth	f	Ælfþryð
Ælfweard	m	
Ælfwig	m	
Ælfwine	m	
Ælfwynn	f	
Aelia	f	
Aeliana	f	
Aelianus	m	
Aelita	f	
Aelius	m	
Aella	f	
Ælred	m	Æðelræd,Æþelræd,Æthelred
Aemilia	f	
Aemiliana	f	
Aemilianus	m	
Aemilius	m	
Aeneas	m	
Aengus	m	
Aenoheso	m	
Aenor	f	
Aeolus	m	Aiolos
Aeron	mf	Aerona
Aerona	f	Aeron
Aeronwen	f	
Aeronwy	f	Aeron,Aerona
Æsc	m	
Aeschylus	m	Aischylos
Aesculapius	m	Asclepius,Asklepios
Aeson	m	Aison
Aesop	m	Aisopos
Æthelbald	m	Æðelbeald
Æðelbeald	m	Æthelbald
Æþelbeorht	m	Æthelberht
Æthelberht	m	Æþelbeorht
Æðelflæd	f	Æthelflæd
Æthelflæd	f	Æðelflæd
Æðelfrið	m	
Æðelmær	m	
Æthelnoð	m	
Æðelræd	m	Ælred,Æþelræd,Æthelred
Æþelræd	m	Ælred,Æðelræd,Æthelred
Æthelred	m	Ælred,Æðelræd,Æþelræd
Æðelric	m	Æthelric
Æthelric	m	Æðelric
Æðelstan	m	Æthelstan
Æthelstan	m	Æðelstan
Æðelþryð	f	Æthelthryth
Æthelthryth	f	Æðelþryð
Æthelweald	m	
Æthelweard	m	
Æðelwine	m	Æthelwine
Æthelwine	m	Æðelwine
Æðelwulf	m	
Aether	m	Aither
Aetius	m	
Afaf	f	
Afan	m	
Afanasiy	m	Afanasy,Afonya
Afanasy	m	Afanasiy,Afonya
Afërdita	f	
Affan	m	
Affraic	f	
Afi	f	
Afia	f	Afua,Efua
Afif	m	
Afifa	f	Afifah
Afifah	f	Afifa
Afina	f	
Afnan	f	
Afolabi	m	
Afon	fm	
Afonso	m	
Afonya	m	Afanasiy,Afanasy
Afra	f	
África	f	
Àfrica	f	
Africa	f	Aifric
Africanus	m	
Afrim	m	
Afrodita	f	
Afrodite	f	
Afroditi	f	
Afsaneh	f	
Afsoon	f	Afsoun,Afsun
Afsoun	f	Afsoon,Afsun
Afsun	f	Afsoon,Afsoun
Afua	f	Afia,Efua
Afzal	m	
Ağa	m	
Aga	f	Agata,Agatka,Agnieszka,Jaga,Jagienka,Jagna
Agabos	m	
Agabus	m	
Agafon	m	
Agafya	f	Agata
Agam	fm	
Agamemnon	m	
Agape	f	
Agapetos	m	Agapetus
Agapetus	m	Agapetos
Agapi	f	
Agapios	m	Agapius
Agapito	m	
Agapitos	m	
Agapius	m	Agapios
Agar	f	
Ágata	f	Águeda
Agáta	f	
Agata	f	Aga,Agatka,Jaga,Jagienka,Jagna
Agate	f	
Agatha	f	Agathe,Aggie
Agathangelos	m	
Agathe	f	Agatha
Agathi	f	
Agathinos	m	Agathinus,Agathon
Agathinus	m	Agathinos,Agathon
Agathocles	m	Agathokles
Agathokles	m	Agathocles
Agathon	m	Agathinos,Agathinus
Agatino	m	
Agatka	f	Aga,Agata,Jagienka,Jagna
Agaue	f	
Agda	f	Agata
Åge	m	Aage
Age	mf	Agnes
Agelaos	m	Agelaus
Agelaus	m	Agelaos
Agenor	m	
Aggie	f	Agatha,Agnes,Annice,Annis
Aghavni	f	
Aghi	m	Egill
Aghil	m	
Aghlab	m	
Ági	f	Ágnes,Ágota
Agi	m	Ago
Agilulf	m	
Agim	m	
Agimar	m	Egilmar
Aglaé	f	
Aglaea	f	Aglaia
Aglaia	f	Aglaea
Aglaya	f	
Agmundr	m	Agni
Agnar	m	
Agnarr	m	Agni
Agne	m	
Agnė	f	
Agner	m	
Ágnes	f	Ági
Agnès	f	
Agnes	f	Age,Aggie,Agneta,Agnete,Agnetha,Agnethe,Annice,Annis,Hagne,Nancy
Agneša	f	
Agnesa	f	
Agnese	f	Agnija
Agnessa	f	
Agneta	f	Agnes,Agnetha
Agnete	f	Agnes,Agnethe
Agnetha	f	Agnes,Agneta
Agnethe	f	Agnes,Agnete
Agneza	f	Janja
Agni	mf	Agmundr,Agnarr
Agnia	f	Agnessa
Agnieszka	f	Aga,Jaga,Jagienka,Jagna
Agnija	f	Agnese,Janja
Agniya	f	Agnessa
Ago	m	Agi
Agolant	m	
Agostina	f	
Agostinho	m	
Agostino	m	Dino
Ágoston	m	
Ågot	f	
Ágota	f	Ági
Agrafena	f	Grusha
Agramante	m	
Agripina	f	
Agrippa	mf	
Agrippina	f	
Agron	m	
Agrona	f	
Águeda	f	Ágata
Agung	m	
Agurne	f	
Agurtzane	f	
Agus	m	Bagus
Ágúst	m	
Agustí	m	
Agustín	m	
Agustina	f	
Ah	mf	
Ahab	m	Achab
Aharon	m	
Ahasuerus	m	
Ahava	f	
Ahenobarbus	m	
Ahinoam	f	
Ahlam	f	
Əhməd	m	
Ahmad	m	Ahmed,Akhmad,Hameed,Hamid
Ahmadu	m	
Ahmed	m	Ahmad,Ahmet,Hameed,Hamid
Ahmet	m	Ahmed,Akhmet
Ahmose	mf	Amosis,Iahmesu
Aholibamah	f	Oholibamah
'Aholivama	f	'Oholivama
Ahoth	m	
Ahriman	m	Angra Mainyu
Ahsan	m	Al-Hasan,Hasan,Hassan
Ahsen	fm	
Ahtahkakoop	m	
Ahti	m	
Ahu	f	
Ahuludegi	m	
Ahura Mazda	m	Hormizd,Hormoz
Ahuva	f	Ahava
Ai	f	
Aia	f	
Aiaru	f	Ayaru
Aias	m	Ajax
Aibar	m	Aybar
Aibek	m	Aybek
Aíbinn	f	Oébfinn
Aïcha	f	'Aisha,A'isha,Aisha,Aishah,Ayesha,Ayishah,Aysha
Aïchatou	f	Aïssa,Aïssatou
Aída	f	
Aida	f	Ayda
Aidai	f	Aiday
Aidan	m	Aaden,Aden,Aiden,Aodh,Aodhagán,Aodhán,Aydan,Ayden
Aidana	f	Aydana
Aidas	m	
Aiday	f	Aidai
Aideen	f	Éadaoin,Étaín
Aiden	m	Aaden,Aden,Aidan,Aydan,Ayden
Aidos	m	Aydos
Aífe	f	Aoife
Aifric	f	
Aiga	f	
Aigar	m	
Aigars	m	
Äigerım	f	Aygerim
Aigeus	m	Aegeus,Aegisthus,Aigisthos
Aigisthos	m	Aegeus,Aegisthus,Aigeus
Aigle	f	Aegle
Aignéis	f	
Aigül	f	Aigul
Aigul	f	Aigül,Aygül
Aija	f	
Aijan	f	Aizhan
Aikaterine	f	
Aikaterini	f	Ekaterini,Kaiti,Keti
Aike	m	Adde,Ade,Ale,Alke,Alle,Atse
Aiko	f	
Aikörkem	f	Aykorkem
Aila	f	Aili,Laila
ʻAilani	fm	
Ailani	f	Ailany,Aylani
Ailany	f	Ailani,Aylani
Ailbe	mf	Ailbhe
Ailbhe	fm	Ailbe,Alby,Elva
Áile	f	Láilá
Ailean	m	Alan,Allan
Aileas	f	Ailis
Aileen	f	Alene,Aline,Èibhlin,Eibhlín,Eileen,Ilene
Ailen	f	Ayelen,Aylen
Aili	f	Aila,Laila
Ailill	m	
Ailín	m	
Ailin	f	Aylin
Ailís	f	Ailish
Ailis	f	Aileas
Ailish	f	Ailís
Ailpean	m	
Ailsa	f	
Aiman	fm	Ayman
Aimar	m	
Aimé	m	
Aimée	f	
Aimee	f	Ami,Amie,Amy
Aimeric	m	Heimirich,Heinrich,Henricus
Aimery	m	Aymeri
Aimi	f	Manami
Aimilia	f	Emilia
Aimilios	m	Emilios
Aimo	m	
Ain	m	
Aina	f	Aino,Anna,Ayna
Ainara	f	Enara
Ainārs	m	
Aindrea	m	
Aindréas	m	Aindriú
Aindriú	m	Aindréas
Áine	f	
Aineias	m	
Aingeal	f	
Aingeru	m	
Ainhara	f	
Ainhoa	f	
Aino	f	Aina
Ainoa	f	
Ainslee	f	Ainsley,Ansley
Ainsley	fm	Ansley
Ainslie	f	Ainsley,Ansley
Aintza	f	Aintzane
Aintzane	f	Aintza
Ainūr	f	
Ainura	f	Aynura
Aiolos	m	Aeolus
Aira	f	Airi
Airat	m	Ayrat
Airi	f	Aira
Airmanagild	m	Hermenegildus
Airmanareiks	m	
Aírton	m	
Aişa	f	Aisha,Aysha
Aişə	f	Ayşə
Aisana	f	
Aischylos	m	Aeschylus
'Aisha	f	Aïcha,A'isha,Aisha,Aishah,Ayesha,Ayishah,Aysha
A'isha	f	Aïcha,'Aisha,Aisha,Aishah,Ayesha,Ayishah,Aysha
Aisha	f	Aïcha,Aişa,'Aisha,A'isha,Aishah,Aishatu,Ayesha,Ayishah,Aysha,Iesha
Aishah	f	Aïcha,'Aisha,A'isha,Aisha,Aisyah,Ayesha,Ayishah,Aysha
Aishat	f	
Aishath	f	
Aishatu	f	Aisha
Aishwarya	f	
Aislin	f	Aisling,Aislinn,Ashling
Aisling	f	Aislinn,Ashling
Aislinn	f	Aisling,Ashling
Aison	m	Aeson
Aisopos	m	Aesop
Aïssa	f	Aïchatou,Aïssatou
Aïssatou	f	Aïchatou,Aïssa
Aistė	f	
Aistulf	m	
Aisūltan	m	Aysultan
Aisyah	f	Aishah
Aitana	f	
Aithan	m	
Aithbhreac	f	
Aither	m	Aether
Aithne	f	Eithne,Ena,Enya,Ethna
Aitor	m	
Aitöre	m	Aytore
Aiur	m	
Aivar	m	Ivar
Aivars	m	Ivars
Aiwareiks	m	Euric
Aiym	f	Ayym
Aiza	f	Aizah
Aizah	f	Aiza
Aizere	f	Ayzere
Aizhamal	f	Ayjamal
Aizhan	f	Aijan
Aizirek	f	Ayzirek
Ajan	m	
Ajax	m	Aias
Ajay	m	
Ajda	f	Ayda
Ajdin	m	
Ajeet	m	Ajit
Ajei	f	
Ajit	m	Ajeet
Ajita	m	
Ajith	m	
Ajla	f	
Ajlin	f	
Ajna	f	
Ajnur	m	
Ajša	f	
Akachi	mf	
Akaki	m	
Akakios	m	Acacius
Akamu	m	
Akane	f	
Akanksha	f	
Akantha	f	Acantha
Akari	f	
Akash	m	
Əkbər	m	
Akbar	m	
Akbota	f	Aqbota
Åke	m	
Akeem	m	
Akemi	f	
Akerke	f	Aqerke
Akhenaten	m	Akhenaton
Akhenaton	m	Akhenaten
Akhil	m	
Akhila	f	
Akhmad	m	Ahmad
Akhmat	m	Äxmät
Akhmet	m	Ahmet
'Akhsa	f	
Akhtar	mf	
Áki	m	
Aki	mf	Joakim,Jooa,Kim,Kimi
Akiba	m	Akiva,Yaakov,Yakov
Akicita	m	
Akie	f	
Akif	m	
Akihiko	m	
Akihito	m	Akito
Akiko	f	
Akilah	f	Aqila
Akilina	f	Akulina
Akim	m	
Akimitsu	m	
Akinyi	f	
Akio	m	
Akira	mf	
